Feature,CC1_Loading,CC1_Loading_Abs
STP,0.6420247460216789,0.6420247460216789
DEWP,-0.3953891722396641,0.3953891722396641
TEMP,-0.3508630937185522,0.3508630937185522
WDSP,-0.3449801312513216,0.3449801312513216
MAX,0.32464196612002233,0.32464196612002233
MXSPD,0.17247317503207757,0.17247317503207757
MIN,-0.14877763853663933,0.14877763853663933
VISIB,0.13345866341407425,0.13345866341407425
GUST,-0.10514726586959079,0.10514726586959079
SLP,-0.054228145036924996,0.054228145036924996
PRCP,0.01634753175118567,0.01634753175118567
RH,-0.0024784290219514006,0.0024784290219514006
