,CC1,CC2,CC3,CC4,CC5,CC6,CC7,CC8
TEMP,-0.20310860403072195,0.5463757268923694,-0.08891748287494333,0.41240438925974654,-0.12048313191176972,-0.18256289294303563,0.49196868922040643,0.12228935595752917
RH,0.08420720712406975,0.23130038621285845,-0.23118497073898506,0.17339278483833429,-0.27289550867800655,0.44598533976001853,-0.4527935893603111,-0.03769637826859777
WDSP,-0.08674244116273855,0.0006349720287537339,0.016601315845359645,-0.14015127690190865,0.27194767352615745,-0.3131241414653479,-0.06187209930368567,-0.5088040236050902
PRCP,-0.03717341140461114,-0.038677939455587604,0.5178413946571104,0.6669626647174032,0.46709565495690414,0.1291931533287508,-0.19489475110054766,-0.012921636755718408
DEWP,-0.14415491974391323,-0.49694714588829897,0.5302923244484371,-0.06983857078641574,-0.4087064341175935,0.05344776448078181,0.1806018412872732,0.12134118486108285
SLP,-0.03657381026524069,-0.06507406735295206,-0.023253645163846908,0.039008518750419885,0.036943532977055674,0.47108132921507434,0.45781667458422753,-0.3796984498551938
STP,0.012703438057470278,-0.03972078463288297,-0.05825411104285179,0.06262217592660328,-0.12541747068448758,0.49180109399731825,0.2568571074262419,-0.025510447243349874
VISIB,0.017599470403502234,0.036687811873789104,0.031769609446767225,0.05222666999165788,-0.17666642484043965,0.17263806433830392,-0.3710698009174501,-0.30456823937627964
MXSPD,0.8928349399134645,0.23834910912057017,0.3035075417553503,-0.11538130892232887,0.00992437276508354,-0.006893314407186599,0.1581177652051719,0.002753357903793342
GUST,0.025540830564925468,-0.007712341983701017,-0.012705085142883491,0.09113519281993855,-0.11097557497445082,-0.020113161389983675,-0.1521415523732456,0.5883184196894302
MAX,0.2848429714001695,-0.37693387490390834,-0.27538320818977124,0.5411683610384009,-0.4067815795476805,-0.3668353751045479,0.029203334272777597,-0.2597246210963174
MIN,0.2030232551452326,-0.4397880737386683,-0.46469795294524235,0.0885780336900148,0.47502242246072385,0.1468452210757577,0.12747562835888948,0.24225106666689114
