Feature,Feature_Type,Correlation_Strength,Correlation_Rank,Average_Correlation,Pearson_Correlation,Pearson_P_Value,Pearson_Significant,Spearman_Correlation,Spearman_P_Value,Spearman_Significant,Kendall_Tau,Kendall_P_Value,Kendall_Significant,MI_Rank,Mutual_Information,CCA_Weather_Extreme_CC1,CCA_Weather_Load_CC1,CCA_Load_CC1
TEMP,Weather,Strong,1.0,0.16906022323730727,0.1538826329572394,0.0,Yes,0.2109692402093732,0.0,Yes,0.1423287965453092,0.0,Yes,8.0,0.105189959461561,0.2031086040307219,0.3508630937185522,
MIN,Weather,Strong,2.0,0.16848679975404376,0.1586052670960454,0.0,Yes,0.2070353252480812,0.0,Yes,0.1398198069180047,0.0,Yes,6.0,0.1100721966959215,0.2030232551452326,0.1487776385366393,
MAX,Weather,Strong,3.0,0.1660648764201128,0.1457393145383974,0.0,Yes,0.2104736844577756,0.0,Yes,0.1419816302641654,0.0,Yes,4.0,0.1161295893079259,0.2848429714001695,0.3246419661200223,
DEWP,Weather,Strong,4.0,0.16101991651997608,0.1523340376092626,0.0,Yes,0.1965169525967863,0.0,Yes,0.1342087593538793,0.0,Yes,7.0,0.1065989361945076,0.1441549197439132,0.3953891722396641,
SLP,Weather,Medium,5.0,0.14968311732989795,-0.1587542007147746,0.0,Yes,-0.1737086677191325,0.0,Yes,-0.1165864835557868,0.0,Yes,9.0,0.0665584855644292,0.0365738102652406,0.0542281450369249,
MXSPD,Weather,Medium,6.0,0.10235420211358189,0.0903277435555027,3.546342760206697e-180,Yes,0.1261882835806621,0.0,Yes,0.0905465792045809,0.0,Yes,12.0,0.0242989035387966,0.8928349399134645,0.1724731750320775,
GUST,Weather,Medium,7.0,0.09724387638822628,0.1047643964911704,5.4563693766051275e-242,Yes,0.1096542208101357,4.847269576703536e-265,Yes,0.0773130118633727,1.6596687988577272e-272,Yes,2.0,0.2587954580591374,0.0255408305649254,0.1051472658695907,
HEAT_INDEX_EXTREME_CAUTION,Extreme_Weather,Medium,8.0,0.061329800244978104,0.0735229364325215,6.871895615578812e-120,Yes,0.0606477338811252,4.002688194036566e-82,Yes,0.0498187304212876,5.607801907612347e-82,Yes,15.0,0.0029140003993752,0.1381868883420542,,
STP,Weather,Medium,9.0,0.06004689151382827,0.0440366937674749,4.036716409393326e-44,Yes,0.0822343905675774,1.395457593888178e-149,Yes,0.0538695902064325,6.3086180261821866e-142,Yes,5.0,0.1138569036017678,0.0127034380574702,0.6420247460216789,
CLOSEST_STATION,Spatial,Weak,10.0,0.0496617382402925,-0.0467355576674057,1.7776303661409858e-49,Yes,0.054277443028305,3.9835093669738384e-66,Yes,0.0479722140251668,3.3106386604673046e-99,Yes,1.0,0.300789698760231,,,0.9554998452488012
HIGH_TEMPERATURE,Extreme_Weather,Weak,11.0,0.041279856349633236,0.0536130918229799,1.4673731969887646e-64,Yes,0.0385553817541118,3.238190247027687e-34,Yes,0.031671095471808,3.4197114052738147e-34,Yes,31.5,0.0,0.0095695193910683,,
WDSP,Weather,Weak,12.0,0.03585095649095663,0.0176530397358233,2.3674968384608543e-08,Yes,0.0537202229648672,8.227565689018794e-65,Yes,0.0361796067721794,6.614837281105204e-64,Yes,10.0,0.0462501560552901,0.0867424411627385,0.3449801312513216,
WIND_LEVEL_3,Extreme_Weather,Weak,13.0,0.025501107777438036,0.0247914487980838,4.475015246092552e-15,Yes,0.0283905891715739,2.7177701672028854e-19,Yes,0.0233212853626564,2.7611493865526642e-19,Yes,31.5,0.0,0.053252164452847,,
PRCP,Weather,Weak,14.0,0.0233982512451265,0.0190685509283729,1.634752944206381e-09,Yes,0.0293192224525731,1.8025449655443462e-20,Yes,0.0218069803544335,1.7154649219364483e-20,Yes,13.0,0.0182838013858095,0.0371734114046111,0.0163475317511856,
WIND_LEVEL_4,Extreme_Weather,Weak,15.0,0.023048986183246,0.0250241869898709,2.482824626106513e-15,Yes,0.0242240586277373,1.8399110302869562e-14,Yes,0.0198987129321298,1.8552577413892813e-14,Yes,14.0,0.004267444511592,0.4844628895016201,,
HEAT_INDEX_CAUTION,Extreme_Weather,Weak,16.0,0.021428104432908268,0.0219932626555453,3.5097845190712615e-12,Yes,0.0232184165679386,2.0853710149646573e-13,Yes,0.0190726340752409,2.0999918216660606e-13,Yes,31.5,0.0,0.2517954946706141,,
RH,Weather,Weak,17.0,0.017043055576918497,0.0318797812882852,6.5216929337046204e-24,Yes,0.0114425016328847,0.0002963041135239,Yes,0.0078068838095856,0.0002333702762866,Yes,3.0,0.1323246284150867,0.0842072071240697,0.0024784290219514,
WIND_LEVEL_6,Extreme_Weather,Weak,18.0,0.009172605356774366,0.0122190060346096,0.0001115064278557,Yes,0.0083992745273696,0.0079050763462411,Yes,0.0068995355083439,0.007905707565581,Yes,31.5,0.0,1.7055936273529622e-26,,
WIND_LEVEL_2,Extreme_Weather,Weak,19.0,0.0087598400979738,-0.0049590628319033,0.1168383373627891,No,-0.0117052486340154,0.0002142398335823,Yes,-0.0096152088280027,0.0002143234871478,Yes,31.5,0.0,0.6585891516829981,,
WIND_LEVEL_5,Extreme_Weather,Weak,20.0,0.007903598568929566,0.007942891887134,0.0120126952113181,Yes,0.0086568140001265,0.0061900211247561,Yes,0.0071110898195282,0.006190599995071,Yes,23.0,1.6835584737417975e-05,0.4194488753138594,,
WIND_LEVEL_1,Extreme_Weather,Weak,21.0,0.007630296535076399,-0.007717107567953,0.0146722453943768,Yes,-0.0083306322944096,0.0084288605983508,Yes,-0.0068431497428666,0.0084295048801944,Yes,31.5,0.0,0.2527153911049813,,
VISIB,Weather,Weak,22.0,0.0073388841987595,-0.0212195791254894,1.9343857148498257e-11,Yes,0.0002789709247626,0.9297040062162768,No,0.0005181025460265,0.8077237533064667,No,11.0,0.0420744852489285,0.0175994704035022,0.1334586634140742,
LOW_TEMPERATURE,Extreme_Weather,Weak,23.0,0.0063472100644761005,0.0079945291349575,0.0114681394090932,Yes,0.0060650229857805,0.0551208599617327,No,0.0049820780726903,0.0551212725113008,No,16.0,0.0024431925546961,0.075540585482793,,
PRECIPITATION_50,Extreme_Weather,Weak,24.0,0.006104467133474667,0.0063309945699669,0.0452813647284638,Yes,0.0065785197824338,0.0374973723335511,Yes,0.0054038870480233,0.0374980052908648,Yes,31.5,0.0,0.0061633457969601,,
PRECIPITATION_100,Extreme_Weather,Weak,25.0,0.002947203075614,-0.0031765352470887,0.3151383349196484,No,-0.0031102099746797,0.3253491977879121,No,-0.0025548640050736,0.3253467391837222,No,19.0,0.0012160269950149,0.0138738045514294,,
WIND_LEVEL_7,Extreme_Weather,Weak,26.0,0.0021094442167609332,0.0011656443973505,0.7124224355594133,No,0.0028343927295246,0.3700902754144141,No,0.0023282955234077,0.3700876472497049,No,18.0,0.0014003953375443,0.0,,
HIGH_HUMIDITY,Extreme_Weather,Weak,27.0,0.0016041297251870666,-0.0039156302606369,0.2156343945640802,No,-0.000492333998117,0.8762791585033324,No,-0.0004044249168073,0.876278245488125,No,31.5,0.0,0.0198193030202123,,
HEAT_INDEX_DANGER,Extreme_Weather,Weak,,,,,No,,,No,,,No,31.5,0.0,5.13652893089773e-17,,
HEAT_INDEX_EXTREME_DANGER,Other,Weak,,,,,No,,,No,,,No,31.5,0.0,,,
SNDP,Other,Weak,,,,,No,,,No,,,No,31.5,0.0,,,
WIND_CHILL_FROSTBITE_DANGER,Extreme_Weather,Weak,,,,,No,,,No,,,No,31.5,0.0,,,
WIND_CHILL_GREAT_FROSTBITE_DANGER,Extreme_Weather,Weak,,,,,No,,,No,,,No,20.0,0.0011696898983499,,,
WIND_CHILL_VERY_COLD,Extreme_Weather,Weak,,,,,No,,,No,,,No,31.5,0.0,,,
