Feature,Mutual_Information
CLOSEST_STATION,0.300789698760231
GUST,0.2587954580591374
RH,0.13232462841508674
MAX,0.11612958930792594
STP,0.11385690360176781
MIN,0.1100721966959215
DEWP,0.10659893619450767
TEMP,0.10518995946156107
SLP,0.06655848556442923
WDSP,0.04625015605529015
VISIB,0.04207448524892854
MXSPD,0.0242989035387966
PRCP,0.01828380138580954
WIND_LEVEL_4,0.004267444511592
HEAT_INDEX_EXTREME_CAUTION,0.0029140003993752828
LOW_TEMPERATURE,0.002443192554696161
WIND_LEVEL_9,0.0019180800069849013
WIND_LEVEL_7,0.0014003953375443245
PRECIPITATION_100,0.001216026995014996
WIND_CHILL_GREAT_FROSTBITE_DANGER,0.0011696898983499793
WIND_LEVEL_11,0.0008992155041225303
WIND_LEVEL_12,0.0005447749775977506
WIND_LEVEL_5,1.6835584737417975e-05
WIND_LEVEL_6,0.0
PRECIPITATION_50,0.0
WIND_LEVEL_10,0.0
SNDP,0.0
WIND_LEVEL_8,0.0
HIGH_TEMPERATURE,0.0
HEAT_INDEX_CAUTION,0.0
HEAT_INDEX_EXTREME_DANGER,0.0
HIGH_HUMIDITY,0.0
WIND_LEVEL_3,0.0
WIND_LEVEL_2,0.0
WIND_LEVEL_1,0.0
WIND_LEVEL_0,0.0
WIND_CHILL_FROSTBITE_DANGER,0.0
WIND_CHILL_VERY_COLD,0.0
HEAT_INDEX_DANGER,0.0
