Feature,Pearson_Correlation,P_Value,Significant
SLP,-0.15875420071477464,0.0,Yes
MIN,0.15860526709604547,0.0,Yes
TEMP,0.15388263295723947,0.0,Yes
DEWP,0.1523340376092626,0.0,Yes
MAX,0.14573931453839745,0.0,Yes
GUST,0.10476439649117046,5.4563693766051275e-242,Yes
MXSPD,0.09032774355550272,3.546342760206697e-180,Yes
HEAT_INDEX_EXTREME_CAUTION,0.0735229364325215,6.871895615578812e-120,Yes
HIGH_TEMPERATURE,0.05361309182297994,1.4673731969887646e-64,Yes
CLOSEST_STATION,-0.04673555766740577,1.777630366140986e-49,Yes
STP,0.044036693767474946,4.0367164093933255e-44,Yes
RH,0.03187978128828522,6.5216929337046204e-24,Yes
WIND_LEVEL_4,0.02502418698987093,2.482824626106513e-15,Yes
WIND_LEVEL_3,0.024791448798083895,4.475015246092552e-15,Yes
HEAT_INDEX_CAUTION,0.021993262655545395,3.5097845190712615e-12,Yes
VISIB,-0.021219579125489493,1.9343857148498257e-11,Yes
PRCP,0.019068550928372983,1.6347529442063812e-09,Yes
WDSP,0.017653039735823356,2.3674968384608543e-08,Yes
WIND_LEVEL_6,0.01221900603460961,0.000111506427855741,Yes
LOW_TEMPERATURE,0.007994529134957537,0.011468139409093208,Yes
WIND_LEVEL_5,0.007942891887134054,0.012012695211318102,Yes
WIND_LEVEL_1,-0.007717107567953027,0.01467224539437682,Yes
PRECIPITATION_50,0.006330994569966912,0.04528136472846387,Yes
WIND_LEVEL_2,-0.00495906283190336,0.1168383373627891,No
HIGH_HUMIDITY,-0.003915630260636927,0.21563439456408026,No
PRECIPITATION_100,-0.0031765352470887968,0.31513833491964843,No
WIND_LEVEL_7,0.0011656443973505465,0.7124224355594133,No
SNDP,,,No
HEAT_INDEX_DANGER,,,No
HEAT_INDEX_EXTREME_DANGER,,,No
WIND_CHILL_VERY_COLD,,,No
WIND_CHILL_FROSTBITE_DANGER,,,No
WIND_CHILL_GREAT_FROSTBITE_DANGER,,,No
WIND_LEVEL_0,,,No
WIND_LEVEL_8,,,No
WIND_LEVEL_9,,,No
WIND_LEVEL_10,,,No
WIND_LEVEL_11,,,No
WIND_LEVEL_12,,,No
