Feature,Spearman_Correlation,P_Value,Significant
TEMP,0.2109692402093732,0.0,Yes
MAX,0.21047368445777567,0.0,Yes
MIN,0.2070353252480812,0.0,Yes
DEWP,0.19651695259678634,0.0,Yes
SLP,-0.17370866771913254,0.0,Yes
MXSPD,0.1261882835806621,0.0,Yes
GUST,0.1096542208101357,4.847269576703536e-265,Yes
STP,0.08223439056757743,1.3954575938881779e-149,Yes
HEAT_INDEX_EXTREME_CAUTION,0.06064773388112525,4.002688194036566e-82,Yes
CLOSEST_STATION,0.05427744302830505,3.983509366973838e-66,Yes
WDSP,0.05372022296486727,8.227565689018794e-65,Yes
HIGH_TEMPERATURE,0.03855538175411182,3.238190247027687e-34,Yes
PRCP,0.02931922245257311,1.8025449655443462e-20,Yes
WIND_LEVEL_3,0.0283905891715739,2.717770167202885e-19,Yes
WIND_LEVEL_4,0.02422405862773739,1.839911030286956e-14,Yes
HEAT_INDEX_CAUTION,0.023218416567938695,2.0853710149646573e-13,Yes
WIND_LEVEL_2,-0.011705248634015427,0.0002142398335823626,Yes
RH,0.011442501632884744,0.00029630411352394404,Yes
WIND_LEVEL_5,0.008656814000126507,0.006190021124756165,Yes
WIND_LEVEL_6,0.008399274527369688,0.007905076346241142,Yes
WIND_LEVEL_1,-0.008330632294409626,0.0084288605983508,Yes
PRECIPITATION_50,0.006578519782433841,0.03749737233355115,Yes
LOW_TEMPERATURE,0.006065022985780546,0.05512085996173275,No
PRECIPITATION_100,-0.0031102099746797996,0.32534919778791216,No
WIND_LEVEL_7,0.0028343927295246605,0.3700902754144141,No
HIGH_HUMIDITY,-0.0004923339981170351,0.8762791585033324,No
VISIB,0.00027897092476265216,0.9297040062162767,No
SNDP,,,No
HEAT_INDEX_DANGER,,,No
HEAT_INDEX_EXTREME_DANGER,,,No
WIND_CHILL_VERY_COLD,,,No
WIND_CHILL_FROSTBITE_DANGER,,,No
WIND_CHILL_GREAT_FROSTBITE_DANGER,,,No
WIND_LEVEL_0,,,No
WIND_LEVEL_8,,,No
WIND_LEVEL_9,,,No
WIND_LEVEL_10,,,No
WIND_LEVEL_11,,,No
WIND_LEVEL_12,,,No
