CITY,DISTRICT,TRANSFORMER,YXRL,CLOSEST_STATION,DELETE,TRANSFORMER_ID
0,0,0,9190,59211099999,,0-0-0
0,0,1,6080,59211099999,,0-0-1
0,0,2,6080,59211099999,,0-0-2
0,0,3,9190,59211099999,,0-0-3
0,0,4,9190,59211099999,,0-0-4
0,0,5,6080,59211099999,,0-0-5
0,0,6,6080,59211099999,,0-0-6
0,0,7,6080,59211099999,,0-0-7
0,0,8,9190,59211099999,,0-0-8
0,0,9,9190,59211099999,,0-0-9
0,0,10,6080,59211099999,,0-0-10
0,0,11,9190,59211099999,,0-0-11
0,0,12,9190,59211099999,,0-0-12
0,0,13,9190,59211099999,,0-0-13
0,0,14,9190,59211099999,,0-0-14
0,0,15,9190,59211099999,,0-0-15
0,0,16,9190,59211099999,,0-0-16
0,0,17,6080,59211099999,,0-0-17
0,0,18,6080,59211099999,,0-0-18
0,0,19,9190,59211099999,,0-0-19
0,0,20,6080,59211099999,,0-0-20
0,0,21,9190,59211099999,,0-0-21
0,0,22,6080,59211099999,,0-0-22
0,1,0,4460,59211099999,,0-1-0
0,1,1,4460,59211099999,,0-1-1
0,1,2,2860,59211099999,1.0,0-1-2
0,1,3,2060,59211099999,1.0,0-1-3
0,1,4,2060,59211099999,1.0,0-1-4
0,1,5,2860,59211099999,1.0,0-1-5
0,1,6,2060,59211099999,1.0,0-1-6
0,1,7,2860,59211099999,1.0,0-1-7
0,1,8,2860,59211099999,1.0,0-1-8
0,1,9,4460,59211099999,,0-1-9
0,1,10,4460,59211099999,,0-1-10
0,1,11,4460,59211099999,,0-1-11
0,1,12,800,59211099999,1.0,0-1-12
0,1,13,4460,59211099999,,0-1-13
1,0,0,800,59046099999,,1-0-0
1,0,1,400,59046099999,,1-0-1
1,0,2,800,59046099999,,1-0-2
1,0,3,800,59046099999,,1-0-3
1,0,4,800,59046099999,,1-0-4
1,0,5,800,59046099999,,1-0-5
1,0,6,800,59046099999,,1-0-6
1,0,7,500,59046099999,,1-0-7
1,1,0,500,59046099999,,1-1-0
1,1,1,800,59046099999,,1-1-1
1,2,0,3150,59046099999,,1-2-0
1,2,1,1200,59046099999,,1-2-1
1,2,2,6160,59046099999,,1-2-2
1,2,3,2390,59046099999,,1-2-3
1,2,4,2390,59046099999,,1-2-4
1,2,5,3150,59046099999,,1-2-5
1,2,6,6160,59046099999,,1-2-6
1,2,7,1200,59046099999,,1-2-7
1,2,8,2390,59046099999,,1-2-8
1,2,9,1130,59046099999,,1-2-9
1,2,10,800,59046099999,,1-2-10
1,2,11,6160,59046099999,,1-2-11
1,2,12,800,59046099999,,1-2-12
1,2,13,1130,59046099999,,1-2-13
1,2,14,1200,59046099999,,1-2-14
1,2,15,3150,59046099999,1.0,1-2-15
1,2,16,6160,59046099999,,1-2-16
1,2,17,6160,59046099999,,1-2-17
1,2,18,6160,59046099999,,1-2-18
1,2,19,6160,59046099999,,1-2-19
1,2,20,6160,59046099999,,1-2-20
1,2,21,6160,59046099999,,1-2-21
1,2,22,2390,59046099999,,1-2-22
1,2,23,3150,59046099999,1.0,1-2-23
1,2,24,6160,59046099999,,1-2-24
1,2,25,3150,59046099999,,1-2-25
2,0,0,0,57957099999,,2-0-0
2,0,1,630,57957099999,,2-0-1
2,0,2,200,57957099999,,2-0-2
2,0,3,200,57957099999,,2-0-3
2,0,4,630,57957099999,,2-0-4
2,0,5,630,57957099999,,2-0-5
2,0,6,630,57957099999,,2-0-6
2,0,7,630,57957099999,,2-0-7
2,1,0,800,57957099999,,2-1-0
2,1,1,800,57957099999,,2-1-1
2,1,2,800,57957099999,,2-1-2
2,1,3,500,57957099999,,2-1-3
2,1,4,800,57957099999,,2-1-4
2,1,5,800,57957099999,,2-1-5
2,1,6,800,57957099999,,2-1-6
2,1,7,800,57957099999,,2-1-7
2,1,8,800,57957099999,,2-1-8
2,1,9,800,57957099999,,2-1-9
3,0,0,1000,59644099999,,3-0-0
3,0,1,630,59644099999,,3-0-1
3,0,2,500,59644099999,,3-0-2
3,0,3,800,59644099999,,3-0-3
4,0,0,1000,59254099999,,4-0-0
4,0,1,1000,59254099999,,4-0-1
4,0,2,800,59254099999,,4-0-2
4,0,3,800,59254099999,,4-0-3
4,0,4,1000,59254099999,,4-0-4
4,0,5,800,59254099999,,4-0-5
4,0,6,1000,59254099999,,4-0-6
4,0,7,1000,59254099999,,4-0-7
4,0,8,800,59254099999,,4-0-8
4,0,9,800,59254099999,,4-0-9
4,1,0,800,59254099999,,4-1-0
4,1,1,800,59254099999,,4-1-1
4,1,2,800,59254099999,,4-1-2
4,1,3,800,59254099999,,4-1-3
4,1,4,800,59254099999,,4-1-4
4,1,5,800,59254099999,,4-1-5
4,1,6,800,59254099999,,4-1-6
4,1,7,500,59254099999,,4-1-7
4,1,8,500,59254099999,,4-1-8
4,1,9,630,59254099999,,4-1-9
4,1,10,800,59254099999,,4-1-10
4,1,11,800,59254099999,,4-1-11
4,1,12,630,59254099999,,4-1-12
4,1,13,630,59254099999,,4-1-13
4,1,14,800,59254099999,,4-1-14
